Serial Number,Hostname,VLAN,VLAN IP,MGMT IP,Site
FCW2315L02C,DNA-c9k1,100,192.168.100.203,10.8.6.57,Global/SJC/SJ11
FCW2315D05B,DNA-c9k2,100,192.168.100.204,10.8.6.58,Global/SJC/SJ11
